,date,location,total_cases
160,2020-05-08,Spain,223218.0
161,2020-05-09,Argentina,5598.0
162,2020-05-09,Spain,223961.0
163,2020-05-10,Argentina,5763.0
164,2020-05-10,Spain,227377.0
165,2020-05-11,Argentina,5776.0
166,2020-05-11,Spain,227770.0
167,2020-05-12,Argentina,6021.0
168,2020-05-12,Spain,228252.0
169,2020-05-13,Argentina,6550.0
170,2020-05-13,Spain,228691.0
171,2020-05-14,Argentina,6866.0
172,2020-05-14,Spain,229540.0
173,2020-05-15,Argentina,7121.0
174,2020-05-15,Spain,230183.0
175,2020-05-16,Argentina,7466.0
176,2020-05-16,Spain,230698.0
177,2020-05-17,Argentina,7792.0
178,2020-05-17,Spain,231350.0
179,2020-05-18,Argentina,7792.0
180,2020-05-18,Spain,231606.0
181,2020-05-19,Argentina,8358.0
182,2020-05-19,Spain,232037.0
183,2020-05-20,Argentina,8796.0
184,2020-05-20,Spain,232555.0
185,2020-05-21,Argentina,9270.0
186,2020-05-21,Spain,233037.0
187,2020-05-22,Argentina,9918.0
188,2020-05-22,Spain,234824.0
189,2020-05-23,Argentina,10636.0
190,2020-05-23,Spain,235290.0
191,2020-05-24,Argentina,11340.0
192,2020-05-24,Spain,235772.0
193,2020-05-25,Argentina,12063.0
194,2020-05-25,Spain,235400.0
195,2020-05-26,Argentina,12615.0
196,2020-05-26,Spain,236259.0
197,2020-05-27,Argentina,13215.0
198,2020-05-27,Spain,236769.0
199,2020-05-28,Argentina,13920.0
200,2020-05-28,Spain,237906.0
201,2020-05-29,Argentina,14689.0
202,2020-05-29,Spain,238564.0
203,2020-05-30,Argentina,15406.0
204,2020-05-30,Spain,239228.0
205,2020-05-31,Argentina,16201.0
206,2020-05-31,Spain,239429.0
207,2020-06-01,Argentina,16838.0
208,2020-06-01,Spain,239638.0
209,2020-06-02,Argentina,17402.0
210,2020-06-02,Spain,239932.0
211,2020-06-03,Argentina,18306.0
212,2020-06-03,Spain,240326.0
213,2020-06-04,Argentina,19255.0
214,2020-06-04,Spain,240660.0
215,2020-06-05,Argentina,19255.0
216,2020-06-05,Spain,240978.0
217,2020-06-06,Argentina,21024.0
218,2020-06-06,Spain,241310.0
219,2020-06-07,Argentina,22007.0
220,2020-06-07,Spain,241550.0
221,2020-06-08,Argentina,22781.0
222,2020-06-08,Spain,241717.0
223,2020-06-09,Argentina,23607.0
224,2020-06-09,Spain,241966.0
225,2020-06-10,Argentina,24748.0
226,2020-06-10,Spain,242280.0
227,2020-06-11,Argentina,25987.0
228,2020-06-11,Spain,242707.0
229,2020-06-12,Argentina,27360.0
230,2020-06-12,Spain,243209.0
231,2020-06-13,Argentina,28751.0
232,2020-06-13,Spain,243605.0
233,2020-06-14,Argentina,30282.0
234,2020-06-14,Spain,243928.0
235,2020-06-15,Argentina,31564.0
236,2020-06-15,Spain,244109.0
237,2020-06-16,Argentina,32772.0
238,2020-06-16,Spain,244328.0
239,2020-06-17,Argentina,34146.0
240,2020-06-17,Spain,244683.0
241,2020-06-18,Argentina,35539.0
242,2020-06-18,Spain,245268.0
243,2020-06-19,Argentina,35539.0
244,2020-06-19,Spain,245575.0
245,2020-06-20,Argentina,39557.0
246,2020-06-20,Spain,245938.0
247,2020-06-21,Argentina,41191.0
248,2020-06-21,Spain,246272.0
249,2020-06-22,Argentina,42772.0
250,2020-06-22,Spain,246504.0
251,2020-06-23,Argentina,44918.0
252,2020-06-23,Spain,246752.0
253,2020-06-24,Argentina,44918.0
254,2020-06-24,Spain,247086.0
255,2020-06-25,Argentina,49838.0
256,2020-06-25,Spain,247486.0
257,2020-06-26,Argentina,52444.0
258,2020-06-26,Spain,247905.0
259,2020-06-27,Argentina,52444.0
260,2020-06-27,Spain,248469.0
261,2020-06-28,Argentina,57731.0
262,2020-06-28,Spain,248770.0
263,2020-06-29,Argentina,57731.0
264,2020-06-29,Spain,248970.0
265,2020-06-30,Argentina,62255.0
266,2020-06-30,Spain,249271.0
267,2020-07-01,Argentina,64517.0
268,2020-07-01,Spain,249659.0
269,2020-07-02,Argentina,67184.0
270,2020-07-02,Spain,250103.0
271,2020-07-03,Argentina,69928.0
272,2020-07-03,Spain,250545.0
273,2020-07-04,Argentina,72773.0
274,2020-07-04,Spain,250545.0
275,2020-07-05,Argentina,72773.0
276,2020-07-05,Spain,250545.0
277,2020-07-06,Argentina,75363.0
278,2020-07-06,Spain,251789.0
279,2020-07-07,Argentina,77802.0
280,2020-07-07,Spain,252130.0
281,2020-07-08,Argentina,80434.0
282,2020-07-08,Spain,252513.0
283,2020-07-09,Argentina,83413.0
284,2020-07-09,Spain,253056.0
285,2020-07-10,Argentina,87017.0
286,2020-07-10,Spain,253908.0
287,2020-07-11,Argentina,90680.0
288,2020-07-11,Spain,253908.0
289,2020-07-12,Argentina,94047.0
290,2020-07-12,Spain,253908.0
291,2020-07-13,Argentina,97496.0
292,2020-07-13,Spain,255953.0
293,2020-07-14,Argentina,100153.0
294,2020-07-14,Spain,256619.0
295,2020-07-15,Argentina,103252.0
296,2020-07-15,Spain,257494.0
297,2020-07-16,Argentina,106897.0
298,2020-07-16,Spain,258855.0
299,2020-07-17,Argentina,111147.0
300,2020-07-17,Spain,260255.0
301,2020-07-18,Argentina,114770.0
302,2020-07-18,Spain,260255.0
303,2020-07-19,Argentina,119288.0
304,2020-07-19,Spain,260255.0
305,2020-07-20,Argentina,122511.0
306,2020-07-20,Spain,264836.0
307,2020-07-21,Argentina,126742.0
308,2020-07-21,Spain,266194.0
309,2020-07-22,Argentina,130761.0
310,2020-07-22,Spain,267551.0
311,2020-07-23,Argentina,136105.0
312,2020-07-23,Spain,270166.0
313,2020-07-24,Argentina,141887.0
314,2020-07-24,Spain,272421.0
315,2020-07-25,Argentina,148014.0
316,2020-07-25,Spain,272421.0
317,2020-07-26,Argentina,153507.0
318,2020-07-26,Spain,272421.0
319,2020-07-27,Argentina,162513.0
320,2020-07-27,Spain,278782.0
321,2020-07-28,Argentina,162513.0
322,2020-07-28,Spain,280610.0
323,2020-07-29,Argentina,167403.0
324,2020-07-29,Spain,282641.0
325,2020-07-30,Argentina,173342.0
326,2020-07-30,Spain,285430.0
327,2020-07-31,Argentina,178983.0
328,2020-07-31,Spain,288522.0
329,2020-08-01,Argentina,185360.0
330,2020-08-01,Spain,288522.0
331,2020-08-02,Argentina,191289.0
332,2020-08-02,Spain,288522.0
